iter	Passed	Remaining
400	16629	24840
401	16668	24794
402	16709	24753
403	16747	24706
404	16783	24657
405	16821	24611
406	16859	24563
407	16900	24522
408	16937	24474
409	16973	24425
410	17010	24377
411	17046	24328
412	17081	24278
413	17119	24232
414	17157	24186
415	17193	24136
416	17235	24097
417	17272	24049
418	17310	24002
419	17348	23956
420	17389	23915
421	17424	23865
422	17461	23818
423	17498	23771
424	17534	23723
425	17570	23674
426	17610	23632
427	17648	23585
428	17686	23540
429	17725	23496
430	17762	23450
431	17799	23402
432	17839	23360
433	17876	23312
434	17912	23265
435	17948	23217
436	17983	23168
437	18020	23122
438	18061	23081
439	18098	23035
440	18136	22988
441	18173	22943
442	18210	22896
443	18246	22849
444	18285	22804
445	18322	22758
446	18358	22711
447	18396	22667
448	18432	22619
449	18469	22573
450	18507	22529
451	18545	22484
452	18581	22437
453	18618	22391
454	18654	22344
455	18693	22301
456	18731	22256
457	18767	22210
458	18804	22163
459	18840	22117
460	18876	22070
461	18913	22024
462	18950	21979
463	18990	21937
464	19026	21890
465	19062	21844
466	19099	21798
467	19135	21751
468	19172	21706
469	19210	21662
470	19246	21616
471	19282	21570
472	19320	21525
473	19356	21479
474	19392	21433
475	19430	21389
476	19466	21343
477	19503	21298
478	19538	21251
479	19573	21204
480	19608	21158
481	19646	21113
482	19686	21072
483	19722	21025
484	19757	20979
485	19793	20933
486	19830	20889
487	19871	20849
488	19908	20804
489	19945	20759
490	19982	20714
491	20018	20669
492	20054	20624
493	20096	20584
494	20133	20540
495	20169	20494
496	20204	20448
497	20239	20402
498	20276	20357
499	20316	20316
500	20352	20271
501	20388	20226
502	20436	20192
503	20479	20154
504	20526	20119
505	20571	20083
506	20613	20044
507	20665	20014
508	20720	19987
509	20765	19951
510	20804	19908
511	20842	19865
512	20881	19823
513	20922	19783
514	20965	19744
515	21010	19707
516	21051	19667
517	21095	19629
518	21141	19593
519	21184	19554
520	21229	19518
521	21267	19474
522	21303	19430
523	21340	19386
524	21377	19341
525	21417	19299
526	21456	19257
527	21492	19213
528	21533	19172
529	21585	19141
530	21640	19113
531	21698	19087
532	21751	19058
533	21794	19019
534	21833	18976
535	21872	18934
536	21914	18894
537	21952	18851
538	21990	18808
539	22029	18765
540	22067	18723
541	22108	18682
542	22150	18642
543	22189	18599
544	22229	18558
545	22282	18527
546	22337	18498
547	22393	18470
548	22448	18441
549	22503	18411
550	22559	18383
551	22607	18348
552	22646	18305
553	22686	18264
554	22723	18219
555	22763	18178
556	22804	18136
557	22845	18095
558	22886	18055
559	22925	18013
560	22963	17969
561	23003	17928
562	23042	17885
563	23081	17843
564	23123	17802
565	23163	17761
566	23219	17732
567	23275	17702
568	23329	17671
569	23381	17638
570	23436	17608
571	23493	17579
572	23548	17548
573	23589	17507
574	23629	17465
575	23669	17423
576	23708	17380
577	23752	17341
578	23791	17299
579	23829	17255
580	23869	17214
581	23907	17170
582	23944	17126
583	23987	17086
584	24026	17044
585	24065	17002
586	24103	16958
587	24141	16915
588	24180	16873
589	24222	16832
590	24262	16790
591	24299	16747
592	24335	16702
593	24375	16660
594	24430	16628
595	24488	16599
596	24549	16571
597	24609	16543
598	24672	16517
599	24730	16486
600	24788	16457
601	24857	16434
602	24912	16401
603	24960	16364
604	25009	16328
605	25056	16291
606	25115	16261
607	25179	16233
608	25240	16205
609	25302	16176
610	25367	16150
611	25432	16124
612	25506	16102
613	25564	16071
614	25615	16035
615	25660	15995
616	25706	15957
617	25756	15920
618	25807	15884
619	25869	15855
620	25931	15826
621	25989	15794
622	26044	15760
623	26100	15727
624	26156	15694
625	26212	15660
626	26265	15625
627	26314	15587
628	26360	15548
629	26398	15503
630	26435	15459
631	26475	15416
632	26513	15371
633	26550	15327
634	26593	15285
635	26648	15251
636	26701	15216
637	26758	15182
638	26815	15149
639	26878	15119
640	26933	15084
641	26978	15044
642	27023	15003
643	27070	14964
644	27115	14924
645	27157	14881
646	27193	14836
647	27231	14792
648	27277	14752
649	27321	14711
650	27365	14670
651	27410	14630
652	27448	14586
653	27487	14542
654	27527	14499
655	27566	14455
656	27608	14413
657	27645	14369
658	27688	14327
659	27734	14287
660	27777	14246
661	27820	14204
662	27858	14160
663	27895	14115
664	27932	14071
665	27970	14027
666	28006	13982
667	28043	13937
668	28080	13893
669	28120	13850
670	28158	13806
671	28196	13762
672	28235	13719
673	28275	13676
674	28317	13634
675	28357	13591
676	28393	13546
677	28430	13502
678	28466	13457
679	28503	13413
680	28546	13371
681	28591	13331
682	28628	13287
683	28668	13244
684	28707	13201
685	28747	13158
686	28793	13118
687	28833	13075
688	28873	13032
689	28910	12988
690	28947	12944
691	28985	12901
692	29022	12857
693	29058	12812
694	29095	12768
695	29132	12724
696	29167	12679
697	29208	12637
698	29245	12593
699	29282	12549
700	29320	12506
701	29360	12463
702	29400	12420
703	29440	12378
704	29478	12334
705	29515	12291
706	29552	12247
707	29591	12204
708	29630	12161
709	29676	12121
710	29714	12077
711	29752	12034
712	29791	11991
713	29828	11948
714	29867	11905
715	29907	11862
716	29943	11818
717	29979	11774
718	30015	11730
719	30059	11689
720	30096	11646
721	30135	11603
722	30171	11559
723	30209	11516
724	30246	11472
725	30282	11429
726	30322	11386
727	30362	11344
728	30399	11300
729	30436	11257
730	30470	11212
731	30507	11169
732	30544	11125
733	30582	11083
734	30619	11039
735	30672	11002
736	30720	10962
737	30765	10922
738	30811	10882
739	30855	10840
740	30897	10799
741	30936	10756
742	30974	10713
743	31012	10671
744	31050	10628
745	31088	10585
746	31125	10541
747	31161	10498
748	31198	10455
749	31235	10411
750	31273	10368
751	31309	10325
752	31346	10282
753	31383	10239
754	31420	10195
755	31459	10153
756	31500	10111
757	31537	10068
758	31574	10025
759	31611	9982
760	31650	9940
761	31687	9896
762	31729	9855
763	31770	9813
764	31807	9771
765	31843	9727
766	31881	9685
767	31918	9642
768	31959	9600
769	31995	9557
770	32032	9514
771	32068	9470
772	32104	9427
773	32149	9387
774	32214	9352
775	32264	9313
776	32317	9275
777	32355	9232
778	32395	9190
779	32433	9148
780	32471	9105
781	32513	9063
782	32551	9021
783	32587	8978
784	32628	8936
785	32666	8894
786	32704	8851
787	32739	8808
788	32776	8765
789	32815	8723
790	32854	8680
791	32891	8638
792	32927	8595
793	32970	8553
794	33023	8515
795	33075	8476
796	33119	8435
797	33156	8393
798	33193	8350
799	33229	8307
800	33267	8264
801	33307	8223
802	33347	8181
803	33383	8138
804	33421	8095
805	33459	8053
806	33496	8010
807	33534	7968
808	33572	7926
809	33608	7883
810	33648	7841
811	33685	7799
812	33721	7756
813	33761	7714
814	33798	7672
815	33836	7629
816	33874	7587
817	33911	7545
818	33948	7502
819	33987	7460
820	34024	7418
821	34060	7375
822	34097	7333
823	34134	7290
824	34170	7248
825	34208	7206
826	34245	7163
827	34280	7121
828	34317	7078
829	34353	7036
830	34390	6993
831	34427	6951
832	34467	6910
833	34504	6867
834	34541	6825
835	34577	6783
836	34613	6740
837	34652	6698
838	34692	6657
839	34728	6614
840	34764	6572
841	34799	6530
842	34838	6488
843	34876	6446
844	34918	6405
845	34957	6363
846	35000	6322
847	35040	6280
848	35076	6238
849	35115	6196
850	35153	6154
851	35188	6112
852	35225	6070
853	35262	6028
854	35301	5986
855	35350	5946
856	35391	5905
857	35428	5863
858	35465	5821
859	35503	5779
860	35540	5737
861	35578	5695
862	35618	5654
863	35656	5612
864	35693	5570
865	35729	5528
866	35766	5486
867	35804	5444
868	35842	5403
869	35881	5361
870	35917	5319
871	35953	5277
872	35992	5236
873	36035	5194
874	36071	5153
875	36108	5111
876	36145	5069
877	36185	5028
878	36224	4986
879	36262	4944
880	36300	4903
881	36336	4861
882	36372	4819
883	36408	4777
884	36444	4735
885	36484	4694
886	36520	4652
887	36556	4610
888	36594	4569
889	36634	4527
890	36672	4486
891	36712	4445
892	36749	4403
893	36785	4361
894	36822	4320
895	36860	4278
896	36896	4236
897	36935	4195
898	36972	4153
899	37008	4112
900	37045	4070
901	37080	4028
902	37116	3987
903	37156	3945
904	37191	3904
905	37228	3862
906	37264	3820
907	37284	3777
908	37320	3736
909	37355	3694
910	37394	3653
911	37431	3611
912	37466	3570
913	37502	3528
914	37539	3487
915	37575	3445
916	37618	3404
917	37654	3363
918	37690	3321
919	37727	3280
920	37763	3239
921	37801	3197
922	37844	3157
923	37881	3115
924	37917	3074
925	37954	3033
926	37989	2991
927	38025	2950
928	38065	2909
929	38102	2867
930	38138	2826
931	38174	2785
932	38212	2744
933	38248	2702
934	38288	2661
935	38324	2620
936	38360	2579
937	38399	2538
938	38436	2496
939	38472	2455
940	38513	2414
941	38550	2373
942	38586	2332
943	38624	2291
944	38661	2250
945	38699	2209
946	38740	2168
947	38775	2126
948	38814	2085
949	38851	2044
950	38888	2003
951	38925	1962
952	38965	1921
953	39000	1880
954	39036	1839
955	39072	1798
956	39108	1757
957	39145	1716
958	39185	1675
959	39223	1634
960	39260	1593
961	39298	1552
962	39335	1511
963	39374	1470
964	39415	1429
965	39452	1388
966	39489	1347
967	39526	1306
968	39564	1265
969	39603	1224
970	39648	1184
971	39685	1143
972	39722	1102
973	39759	1061
974	39797	1020
975	39835	979
976	39876	938
977	39911	897
978	39947	856
979	39985	816
980	40021	775
981	40057	734
982	40097	693
983	40136	652
984	40173	611
985	40210	570
986	40245	530
987	40282	489
988	40322	448
989	40359	407
990	40396	366
991	40432	326
992	40467	285
993	40504	244
994	40544	203
995	40580	162
996	40619	122
997	40656	81
998	40691	40
999	40727	0
